 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,,16123.280,767.191,0.344,169.448,3392.000,13.000,110.778,140.714,1.212,0.825,0.902
2,,12807.726,621.717,0.416,149.774,904.000,28.000,122.438,130.478,1.130,0.885,0.929
3,,30499.937,753.261,0.675,210.932,3625.000,471.000,59.952,186.624,1.126,0.888,0.973
4,,13206.666,543.554,0.562,148.358,3055.000,367.000,22.486,123.711,1.169,0.855,0.950
5,,14822.939,619.065,0.486,161.412,1016.000,253.000,101.036,139.453,1.048,0.954,0.906
6,,2046.459,249.470,0.413,65.461,2245.000,312.000,174.583,49.667,1.295,0.772,0.883
7,,9424.315,482.015,0.510,124.173,3290.000,424.000,10.954,103.239,1.167,0.857,0.938
8,,16122.964,773.570,0.339,161.775,582.000,489.000,156.462,139.202,1.049,0.953,0.910
9,,19611.160,617.053,0.647,193.938,1049.000,536.000,105.284,129.382,1.534,0.652,0.963
10,,16798.384,627.428,0.536,165.566,574.000,950.000,60.303,142.292,1.124,0.890,0.939
11,,6864.348,348.496,0.710,102.049,2830.000,731.000,151.742,92.784,1.102,0.908,0.965
12,,12939.338,480.629,0.704,140.222,861.000,704.000,103.201,121.800,1.101,0.909,0.961
13,,10788.726,590.293,0.389,130.251,2488.000,963.000,28.887,119.763,1.016,0.984,0.922
14,,11348.315,527.857,0.512,134.953,2040.000,1054.000,57.236,118.180,1.093,0.915,0.953
15,,10225.982,455.571,0.619,124.372,1019.000,1100.000,70.747,110.857,1.076,0.930,0.963
16,,5607.247,473.435,0.314,99.478,2365.000,1088.000,81.229,82.321,1.253,0.798,0.897
17,,9887.009,420.862,0.701,121.417,789.000,1138.000,61.538,106.555,1.114,0.898,0.958
18,,11899.381,617.532,0.392,145.154,3311.000,997.000,132.333,116.898,1.178,0.849,0.944
19,,18158.061,582.165,0.673,159.703,694.000,1180.000,134.430,152.821,1.026,0.975,0.959
20,,6744.414,391.399,0.553,106.431,3924.000,1338.000,86.065,91.440,1.126,0.888,0.933
21,,17167.656,560.192,0.687,158.328,3522.000,1364.000,11.669,146.076,1.048,0.954,0.962
22,,22890.733,664.939,0.651,202.075,4122.000,1297.000,168.128,158.402,1.231,0.813,0.970
23,,6469.196,442.722,0.415,103.574,3393.000,1249.000,121.017,87.229,1.140,0.877,0.920
24,,16159.260,565.471,0.635,156.678,3897.000,1466.000,31.809,144.104,1.038,0.963,0.946
25,,17051.824,570.374,0.659,167.085,447.000,1515.000,23.376,138.430,1.136,0.880,0.954
26,,26932.837,692.809,0.705,211.924,4763.000,1588.000,24.595,167.323,1.183,0.845,0.979
27,,11061.419,515.361,0.523,135.784,3775.000,1427.000,98.566,118.882,1.151,0.869,0.922
28,,6769.979,416.062,0.491,112.182,2492.000,1558.000,12.435,88.594,1.293,0.773,0.932
29,,5691.201,400.172,0.447,104.491,3602.000,1459.000,109.799,81.660,1.279,0.782,0.888
