"Area","Perim.","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
16123.28,767.191,0.344,169.448,3392,13,110.778,140.714,1.212,0.825,0.902
12807.726,621.717,0.416,149.774,904,28,122.438,130.478,1.13,0.885,0.929
30499.937,753.261,0.675,210.932,3625,471,59.952,186.624,1.126,0.888,0.973
13206.666,543.554,0.562,148.358,3055,367,22.486,123.711,1.169,0.855,0.95
14822.939,619.065,0.486,161.412,1016,253,101.036,139.453,1.048,0.954,0.906
2046.459,249.47,0.413,65.461,2245,312,174.583,49.667,1.295,0.772,0.883
9424.315,482.015,0.51,124.173,3290,424,10.954,103.239,1.167,0.857,0.938
16122.964,773.57,0.339,161.775,582,489,156.462,139.202,1.049,0.953,0.91
19611.16,617.053,0.647,193.938,1049,536,105.284,129.382,1.534,0.652,0.963
16798.384,627.428,0.536,165.566,574,950,60.303,142.292,1.124,0.89,0.939
6864.348,348.496,0.71,102.049,2830,731,151.742,92.784,1.102,0.908,0.965
12939.338,480.629,0.704,140.222,861,704,103.201,121.8,1.101,0.909,0.961
10788.726,590.293,0.389,130.251,2488,963,28.887,119.763,1.016,0.984,0.922
11348.315,527.857,0.512,134.953,2040,1054,57.236,118.18,1.093,0.915,0.953
10225.982,455.571,0.619,124.372,1019,1100,70.747,110.857,1.076,0.93,0.963
5607.247,473.435,0.314,99.478,2365,1088,81.229,82.321,1.253,0.798,0.897
9887.009,420.862,0.701,121.417,789,1138,61.538,106.555,1.114,0.898,0.958
11899.381,617.532,0.392,145.154,3311,997,132.333,116.898,1.178,0.849,0.944
18158.061,582.165,0.673,159.703,694,1180,134.43,152.821,1.026,0.975,0.959
6744.414,391.399,0.553,106.431,3924,1338,86.065,91.44,1.126,0.888,0.933
17167.656,560.192,0.687,158.328,3522,1364,11.669,146.076,1.048,0.954,0.962
22890.733,664.939,0.651,202.075,4122,1297,168.128,158.402,1.231,0.813,0.97
6469.196,442.722,0.415,103.574,3393,1249,121.017,87.229,1.14,0.877,0.92
16159.26,565.471,0.635,156.678,3897,1466,31.809,144.104,1.038,0.963,0.946
17051.824,570.374,0.659,167.085,447,1515,23.376,138.43,1.136,0.88,0.954
26932.837,692.809,0.705,211.924,4763,1588,24.595,167.323,1.183,0.845,0.979
11061.419,515.361,0.523,135.784,3775,1427,98.566,118.882,1.151,0.869,0.922
6769.979,416.062,0.491,112.182,2492,1558,12.435,88.594,1.293,0.773,0.932
5691.201,400.172,0.447,104.491,3602,1459,109.799,81.66,1.279,0.782,0.888
11647.519,515.85,0.55,132.298,3254,1549,159.102,120.978,1.049,0.954,0.938
12594.685,463.516,0.737,137.218,707,1798,87.419,121.668,1.07,0.935,0.969
17910.302,815.133,0.339,185.162,3826,1670,156.391,141.088,1.309,0.764,0.929
10352.228,460.484,0.614,123.394,3351,1812,16.125,114.112,1.06,0.943,0.941
9796.743,531.058,0.437,126.496,3665,1893,71.082,115.254,1.061,0.943,0.915
4444.83,351.392,0.452,85.388,2452,1759,11.384,73.092,1.06,0.943,0.932
5812.397,439.375,0.378,104.615,2870,1870,24.087,83.343,1.254,0.798,0.896
12826.663,491.277,0.668,143.84,460,1934,174.846,122.455,1.135,0.881,0.959
4502.272,377.597,0.397,97.334,3673,1891,158.321,73.765,1.302,0.768,0.852
6481.505,304.446,0.879,97.916,854,1873,109.787,85.925,1.111,0.9,0.986
10005.681,473.365,0.561,129.2,3826,1957,106.938,105.287,1.211,0.826,0.943
11179.775,440.372,0.724,128.313,3971,2126,8.307,116.867,1.052,0.951,0.965
6753.566,334.717,0.758,98.406,651,2153,156.801,89.493,1.077,0.928,0.975
9302.803,395.734,0.746,117.464,4267,2182,91.644,107.705,1.059,0.944,0.967
